q,t,action,v
67,7.0,20.0,1048.7838352613373
67,8.0,15.0,1007.1190476896475
67,9.0,15.0,934.9167554201288
67,10.0,15.0,835.5480530513157
67,11.0,10.0,735.5080679680402
67,12.0,10.0,635.21098689876
67,13.0,15.0,534.9655516
67,14.0,10.0,435.0985
67,15.0,5.0,335.0
68,1.0,20.0,350.60894497446054
68,2.0,20.0,1262.4360834491245
68,3.0,20.0,1221.9272981751988
68,4.0,15.0,1181.4127054293128
68,5.0,20.0,1141.24972557095
68,6.0,20.0,1100.5777546277527
68,7.0,15.0,1060.1156394017019
68,8.0,15.0,1017.6018580135344
68,9.0,15.0,940.0235353363258
68,10.0,15.0,840.433918339279
68,11.0,15.0,740.4360909084694
68,12.0,10.0,639.974540516525
68,13.0,10.0,540.13753525
68,14.0,10.0,440.09749999999997
68,15.0,5.0,340.0
69,1.0,20.0,348.049721794227
69,2.0,20.0,1273.735237333828
69,3.0,20.0,1233.3358825777664
69,4.0,20.0,1192.8205288897136
69,5.0,15.0,1152.4150291130181
69,6.0,15.0,1111.9172699812834
69,7.0,15.0,1071.3869984898913
69,8.0,15.0,1027.6372054901924
69,9.0,15.0,945.5656672775385
69,10.0,15.0,845.345807160732
69,11.0,15.0,745.296948087603
69,12.0,15.0,645.1866956643701
69,13.0,15.0,545.22954675
69,14.0,10.0,444.98900000000003
69,15.0,5.0,345.0
70,1.0,20.0,345.3907509941032
70,2.0,20.0,1285.0722662102332
70,3.0,20.0,1244.5870263191787
70,4.0,20.0,1204.242268218823
70,5.0,20.0,1163.689008258718
70,6.0,15.0,1123.1977917131328
70,7.0,15.0,1082.6816298973463
70,8.0,15.0,1036.8416856098
70,9.0,15.0,950.158119369929
70,10.0,15.0,850.3332661246619
70,11.0,10.0,750.5134903957769
70,12.0,15.0,650.192459252445
70,13.0,10.0,550.18124385
70,14.0,15.0,450.295
70,15.0,5.0,350.0
71,1.0,20.0,342.83088099866507
71,2.0,20.0,1296.3866646227764
71,3.0,20.0,1256.1207868098402
71,4.0,20.0,1215.7657584181889
71,5.0,20.0,1175.0521551968668
71,6.0,20.0,1134.6217428283328
71,7.0,15.0,1094.0261477818208
71,8.0,15.0,1045.6375447498183
71,9.0,15.0,955.1769663909126
71,10.0,15.0,855.4363930496778
71,11.0,10.0,755.3298868050374
71,12.0,15.0,655.27715712155
